adm1.x,adm2.x,adm1.y,adm2.y,adm1.distance,adm2.distance,distance,accepted
Principe,Ribeira Fria,Principe,Ribeira Fria,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lemba,Ribeira Funda,Lemba,Ribeira Funda,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Caue,Ribeira Peixe,Caue,Ribeira Peixe,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Cantagalo,Riboque Santana,Cantagalo,Riboque Santana,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lemba,Rio Leca,Lemba,Rio Leca,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lemba,Rosema,Lemba,Rosema,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lemba,Santa Catarina,Lemba,Santa Catarina,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Principe,Santa Rita,Principe,Santa Rita,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Santarem,Lobata,Santarem,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Principe,Santo Cristo,Principe,Santo Cristo,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Sao Gabriel,Agua Grande,Sao Gabriel,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Principe,Sao Joao,Principe,Sao Joao,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Principe,Sao Joaquim,Principe,Sao Joaquim,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Sao Marcal,Agua Grande,Sao Marcal,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Sao Marcos,Agua Grande,Sao Marcos,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Principe,Sundy,Principe,Sundy,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Principe,Tchada,Principe,Tchada,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Principe,Terreiro Velho,Principe,Terreiro Velho,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Torres Dias,Mezochi,Torres Dias,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Vila Braga,Lobata,Vila Braga,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
